taxa	GenLength
Aepypodius_arfakianus	1.752991678
Aepypodius_bruijnii	4.643783593
Talegalla_cuvieri	7.413140777
Talegalla_fuscirostris	7.173282807
Talegalla_jobiensis	7.185125117
Leipoa_ocellata	9.399378425
Macrocephalon_maleo	9.597014666
Eulipoa_wallacei	6.938448549
Megapodius_nicobariensis	4.896317727
Megapodius_cumingii	5.854940226
Megapodius_bernsteinii	7.446814413
Megapodius_tenimberensis	4.527674224
Megapodius_layardi	4.801423619
Megapodius_laperouse	4.744110458
Megapodius_pritchardii	4.600997275
Megapodius_freycinet	4.517987168
Megapodius_geelvinkianus	4.759216809
Megapodius_decollatus	4.526801705
Megapodius_eremita	5.799921462
Megapodius_reinwardt	4.81712205
Chamaepetes_unicolor	7.000325117
Chamaepetes_goudotii	6.396489336
Penelopina_nigra	7.045563915
Penelope_argyrotis	6.188169748
Penelope_barbata	6.796920303
Penelope_ortoni	6.845446769
Penelope_montagnii	6.294913772
Penelope_marail	6.220894257
Penelope_superciliaris	5.959036654
Penelope_dabbenei	6.421616334
Penelope_jacquacu	7.440677483
Penelope_purpurascens	7.680779767
Penelope_perspicax	7.122982059
Penelope_albipennis	7.372553489
Penelope_obscura	7.636499553
Penelope_pileata	6.023068929
Penelope_ochrogaster	7.204151234
Penelope_jacucaca	6.91012512
Pipile_pipile	8.256941984
Pipile_cumanensis	6.699559464
Pipile_grayi	3.045870506
Pipile_cujubi	7.001431855
Pipile_jacutinga	7.381390074
Aburria_aburri	7.418901822
Oreophasis_derbianus	9.131387472
Ortalis_vetula	4.804508169
Ortalis_cinereiceps	4.283435595
Ortalis_garrula	4.345856726
Ortalis_ruficauda	4.199549429
Ortalis_erythroptera	4.698048191
Ortalis_wagleri	4.918091446
Ortalis_poliocephala	3.859929327
Ortalis_canicollis	4.508654166
Ortalis_leucogastra	4.514599182
Ortalis_columbiana	3.640601316
Ortalis_guttata	4.346695639
Ortalis_araucuan	3.640601316
Ortalis_squamata	3.640601316
Ortalis_motmot	4.227407822
Ortalis_superciliaris	4.643017014
Nothocrax_urumutum	8.055562763
Crax_rubra	8.744835209
Crax_alberti	7.596253107
Crax_daubentoni	7.786905014
Crax_alector	7.9814964
Crax_fasciolata	7.841890709
Crax_pinima	5.876032059
Crax_globulosa	8.189658677
Crax_blumenbachii	8.49102819
Mitu_tomentosum	7.745162076
Mitu_mitu	7.715539355
Mitu_tuberosum	7.763783055
Mitu_salvini	8.399765943
Pauxi_unicornis	10.83130442
Pauxi_koepckeae	3.045870506
Pauxi_pauxi	9.298808633
Numida_meleagris	2.682275619
Agelastes_meleagrides	2.461606778
Agelastes_niger	6.127486869
Acryllium_vulturinum	2.541024858
Guttera_plumifera	3.014092501
Guttera_verreauxi	3.045870506
Guttera_pucherani	5.966932988
Guttera_edouardi	3.045870506
Ptilopachus_petrosus	3.334995815
Ptilopachus_nahani	4.21852974
Philortyx_fasciatus	2.846256103
Oreortyx_pictus	2.578428464
Colinus_virginianus	2.258734621
Colinus_nigrogularis	2.506817732
Colinus_leucopogon	2.542577191
Colinus_cristatus	1.532298122
Callipepla_squamata	2.152866308
Callipepla_douglasii	2.5240015
Callipepla_gambelii	2.126172625
Callipepla_californica	2.222432767
Dendrortyx_barbatus	5.418059096
Dendrortyx_macroura	4.702534218
Dendrortyx_leucophrys	4.377532187
Odontophorus_gujanensis	4.672530393
Odontophorus_capueira	4.519306033
Odontophorus_melanotis	4.730952693
Odontophorus_erythrops	5.19397167
Odontophorus_atrifrons	5.028481035
Odontophorus_hyperythrus	5.320001465
Odontophorus_melanonotus	5.197993586
Odontophorus_speciosus	5.162661754
Odontophorus_dialeucos	4.922883028
Odontophorus_strophium	5.07287753
Odontophorus_columbianus	3.784915954
Odontophorus_leucolaemus	4.016044587
Odontophorus_balliviani	5.126271251
Odontophorus_stellatus	5.260023464
Odontophorus_guttatus	4.253860246
Rhynchortyx_cinctus	4.305994007
Dactylortyx_thoracicus	3.386528969
Cyrtonyx_montezumae	2.186048879
Cyrtonyx_sallei	2.737371275
Cyrtonyx_ocellatus	4.063841315
Xenoperdix_udzungwensis	4.763216802
Rollulus_rouloul	3.556043757
Arborophila_torqueola	4.202349198
Arborophila_rufogularis	4.33200332
Arborophila_atrogularis	3.942411299
Arborophila_crudigularis	2.721372566
Arborophila_mandellii	4.346953763
Arborophila_brunneopectus	4.642456133
Arborophila_rufipectus	3.912021162
Arborophila_gingica	3.413008157
Arborophila_davidi	4.569701947
Arborophila_cambodiana	4.693566511
Arborophila_campbelli	4.889210667
Arborophila_rolli	5.32282268
