taxa	GenLength
Abditomys_latidens	1.7524159775912822
Abeomelomys_sevia	1.7106839476961397
Abrawayaomys_ruschii	1.6147624632866329
Abrocoma_bennettii	2.829927599281288
Abrocoma_boliviensis	2.829927599281288
Abrocoma_budini	2.829927599281288
Abrocoma_cinerea	2.829927599281288
Abrocoma_famatina	1.9665102564973096
Abrocoma_shistacea	2.829927599281288
Abrocoma_uspallata	2.829927599281288
Abrocoma_vaccarum	2.829927599281288
Abrothrix_andinus	1.6147624632866329
Abrothrix_hershkovitzi	1.6147624632866329
Abrothrix_illuteus	1.6147624632866329
Abrothrix_jelskii	1.6147624632866329
Abrothrix_lanosus	1.6147624632866329
Abrothrix_longipilis	1.6147624632866329
Abrothrix_markhami	1.6147624632866329
Abrothrix_olivaceus	1.6147624632866329
Abrothrix_sanborni	1.6147624632866329
Acerodon_celebensis	4.5
Acerodon_humilis	4.5
Acerodon_jubatus	10.0
Acerodon_leucotis	4.0
Acerodon_mackloti	5.0
Acinonyx_jubatus	6.0
Acomys_airensis	1.7808561643835619
Acomys_cahirinus	1.7808561643835619
Acomys_cilicicus	1.7808561643835619
Acomys_cineraceus	1.7808561643835619
Acomys_dimidiatus	1.7808561643835619
Acomys_ignitus	1.7808561643835619
Acomys_johannis	1.7808561643835619
Acomys_kempi	1.7808561643835619
Acomys_louisae	1.7808561643835619
Acomys_minous	1.7808561643835619
Acomys_mullah	1.7808561643835619
Acomys_nesiotes	1.7808561643835619
Acomys_percivali	1.7808561643835619
Acomys_russatus	1.7808561643835619
Acomys_seurati	1.7808561643835619
Acomys_spinosissimus	1.7808561643835619
Acomys_subspinosus	1.7808561643835619
Acomys_wilsoni	1.7808561643835619
Aconaemys_fuscus	3.589169726027397
Aconaemys_porteri	3.589169726027397
Aconaemys_sagei	3.589169726027397
Acrobates_pygmaeus	2.734153698630137
Addax_nasomaculatus	7.0
Aegialomys_galapagoensis	1.6147624632866329
Aegialomys_xanthaeolus	1.6147624632866329
Aepeomys_lugens	1.6147624632866329
Aepeomys_reigi	1.6147624632866329
Aepyceros_melampus	7.32633333330685
Aepyprymnus_rufescens	3.6372402739726026
Aeretes_melanopterus	3.7921130479452057
Aeromys_tephromelas	5.522616717399397
Aeromys_thomasi	5.522616717399397
Aethalops_aequalis	4.256961295143205
Aethalops_alecto	4.256961295143205
Aethomys_bocagei	1.7106839476961397
Aethomys_chrysophilus	1.7106839476961397
Aethomys_granti	1.7106839476961397
Aethomys_hindei	1.7524159775912822
Aethomys_ineptus	1.7524159775912822
Aethomys_kaiseri	1.7106839476961397
Aethomys_namaquensis	1.7106839476961397
Aethomys_nyikae	1.7106839476961397
Aethomys_silindensis	1.7106839476961397
Aethomys_stannarius	1.7106839476961397
Aethomys_thomasi	1.7106839476961397
Ailuropoda_melanoleuca	14.374518949745207
Ailurops_melanotis	5.480449075342466
Ailurops_ursinus	5.480449075342466
Ailurus_fulgens	10.0
Akodon_aerosus	1.6147624632866329
Akodon_affinis	1.6147624632866329
Akodon_albiventer	1.6147624632866329
Akodon_aliquantulus	1.6147624632866329
Akodon_azarae	1.6147624632866329
Akodon_bogotensis	1.6147624632866329
Akodon_boliviensis	1.6147624632866329
Akodon_budini	1.6147624632866329
Akodon_cursor	1.6147624632866329
Akodon_dayi	1.6147624632866329
Akodon_dolores	1.6147624632866329
Akodon_fumeus	1.6147624632866329
Akodon_iniscatus	1.6147624632866329
Akodon_juninensis	1.6147624632866329
Akodon_kofordi	1.6147624632866329
Akodon_latebricola	1.6147624632866329
Akodon_leucolimnaeus	1.6147624632866329
Akodon_lindberghi	1.6147624632866329
Akodon_lutescens	1.6147624632866329
Akodon_mimus	1.6147624632866329
Akodon_molinae	1.6147624632866329
Akodon_mollis	1.6147624632866329
Akodon_montensis	1.6147624632866329
Akodon_mystax	1.6147624632866329
Akodon_neocenus	1.6147624632866329
Akodon_oenos	1.6147624632866329
Akodon_orophilus	1.6147624632866329
Akodon_paranaensis	1.6147624632866329
Akodon_pervalens	1.6147624632866329
Akodon_philipmyersi	1.6147624632866329
Akodon_reigi	1.6147624632866329
Akodon_sanctipaulensis	1.6147624632866329
Akodon_serrensis	1.6147624632866329
Akodon_siberiae	1.6147624632866329
Akodon_simulator	1.6147624632866329
Akodon_spegazzinii	1.6147624632866329
Akodon_subfuscus	1.6147624632866329
Akodon_surdus	1.6147624632866329
Akodon_sylvanus	1.6147624632866329
Akodon_toba	1.6147624632866329
Akodon_torques	1.6147624632866329
Akodon_varius	1.6147624632866329
Alcelaphus_buselaphus	7.846233789980822
Alces_alces	10.196653698630136
Alces_americanus	9.344034794520548
Alionycteris_paucidentata	4.256961295143205
Allactaga_balikunica	1.7126745205479452
Allactaga_bullata	1.7126745205479452
Allactaga_elater	1.7126745205479452
Allactaga_euphratica	1.7126745205479452
Allactaga_firouzi	1.7126745205479452
Allactaga_hotsoni	1.7126745205479452
Allactaga_major	1.7126745205479452
Allactaga_severtzovi	1.7126745205479452
Allactaga_sibirica	1.7126745205479452
Allactaga_tetradactyla	1.7126745205479452
Allactaga_vinogradovi	1.7126745205479452
Allactaga_williamsi	1.7126745205479452
Allactodipus_bobrinskii	1.989581198630137
Allenopithecus_nigroviridis	11.025779884757561
